Ador Welding,ADORWELD.NS
AIA Engineering,AIAENG.NS
Amara Raja,AMARAJABAT.NS
Sanghvi Forging,SANGHVIFOR.NS
Bharat Bijlee,BBL.NS
BEML Limited,BEML.NS
Bharat Heavy,BHEL.NS
Bilpower Limited,BILPOWER.NS
Kirloskar Brothers,KIRLOSBROS.NS
Cummins India,CUMMINSIND.NS
Diamond Power,DIAPOWER.NS
Easun Reyrolle,EASUNREYRL.NS
ECE Industries,ECEIND.NS
Eimco Elecon,EIMCOELECO.NS
ELGI Equipments,ELGIEQUIP.NS
Eon Electric,EON.NS
Kirloskar Electric,KECL.NS
Elecon Engineering,ELECON.NS
EMCO Limited,EMCO.NS
Kabra Extrusiontechnik,KABRAEXTRU.NS
GEI Industrial,GEINDSYS.NS
Shanthi Gears,SHANTIGEAR.NS
Goldstone Infratech,GOLDINFRA.NS
Greaves Cotton,GREAVESCOT.NS
Havells India,HAVELLS.NS
Hercules Hoists,HERCULES.NS
IFB Industries,IFBIND.NS
IMP Powers,INDLMETER.NS
The KCP,KCP.NS
KSB Pumps,KSBPUMPS.NS
Lakshmi Machine,LAXMIMACH.NS
Lokesh Machines,LOKESHMACH.NS
TRF Limited,TRF.NS
Thermax Limited,THERMAX.NS
NEPC India,NEPCMICON.NS
Honda Siel,HONDAPOWER.NS
TD Power,TDPOWERSYS.NS
Premier Limited,PREMIER.NS
Shakti Pumps,SHAKTIPUMP.NS
Ingersoll-Rand (India),INGERRAND.NS
Suzlon Energy,SUZLON.NS
Tarapur Transformers,TARAPUR.NS
TIL Limited,TIL.NS
Timken India,TIMKEN.NS
Transformers &,TRIL.NS
Triveni Turbine,TRITURBINE.NS
Inox Wind,INOXWIND.NS
Windsor Machines,WINDMACHIN.NS
Honeywell Automation,HONAUT.NS
Delta Magnets,DELTAMAGNT.NS
Graphite India,GRAPHITE.NS
Manugraph India,MANUGRAPH.NS
PAE Limited,PAEL.NS
Jaiprakash Power,JPPOWER.NS
JSW Energy,JSWENERGY.NS
KEC International,KEC.NS
NTPC Limited,NTPC.NS
Websol Energy,WEBELSOLAR.NS
XL Energy,XLENERGY.NS
Adani Power,ADANIPOWER.NS
Surana Telecom,SURANAT&P.NS
CESC Limited,CESC.NS
Lanco Infratech,LITL.NS
Surana Solar,SURANASOL.NS
Reliance Power,RPOWER.NS
The Tata,TATAPOWER.NS
PTC India,PTC.NS
RattanIndia Infrastructure,RTNINFRA.NS
Swelect Energy,SWELECTES.NS
Ujaas Energy,UJAAS.NS
Indosolar Limited,INDOSOLAR.NS
Piramal Enterprises,PEL.NS
Jubilant Life,JUBILANT.NS
Kopran Limited,KOPRAN.NS
Wanbury Limited,WANBURY.NS
Wockhardt Limited,WOCKPHARMA.NS
Aarti Drugs,AARTIDRUGS.NS
Abbott India,ABBOTINDIA.NS
Ajanta Pharma,AJANTPHARM.NS
AstraZeneca Pharma,ASTRAZEN.NS
Bafna Pharmaceuticals,BAFNAPHARM.NS
Sharon Bio-Medicine,SHARONBIO.NS
Hester Biosciences,HESTERBIO.NS
Bliss Gvs,BLISSGVS.NS
Brooks Laboratories,BROOKS.NS
Cipla Limited,CIPLA.NS
Kilitch Drugs,KILITCH.NS
FDC Limited,FDC.NS
GlaxoSmithkline Pharmaceuticals,GLAXO.NS
Granules India,GRANULES.NS
