Ador Welding,ADORWELD.NS
Jagsonpal Pharmaceuticals,JAGSNPHARM.NS
J. B.,JBCHEPHARM.NS
Morepen Laboratories,MOREPENLAB.NS
Unichem Laboratories,UNICHEMLAB.NS
Ind-Swift Laboratories,INDSWFTLAB.NS
Nectar Lifesciences,NECLIFE.NS
Natco Pharma,NATCOPHARM.NS
Orchid Pharma,ORCHIDPHAR.NS
Pfizer Limited,PFIZER.NS
SMS Pharmaceuticals,SMSPHARMA.NS
Torrent Pharmaceuticals,TORNTPHARM.NS
Venus Remedies,VENUSREM.NS
Aurobindo Pharma,AUROPHARMA.NS
Dr. Reddy's,DRREDDY.NS
Syncom Healthcare,SYNCOM.NS
Lupin Limited,LUPIN.NS
Sun Pharmaceutical,SUNPHARMA.NS
Indoco Remedies,INDOCO.NS
Sun Pharma,SPARC.NS
Alkem Laboratories,ALKEM.NS
Alembic Pharmaceuticals,APLLTD.NS
Alembic Limited,ALEMBICLTD.NS
Alpa Laboratories,ALPA.NS
Amrutanjan Health,AMRUTANJAN.NS
IOL Chemicals,IOLCP.NS
Gufic Biosciences,GUFICBIO.NS
Cadila Healthcare,CADILAHC.NS
Divi's Laboratories,DIVISLAB.NS
Parabolic Drugs,PARABDRUGS.NS
Mangalam Drugs,MANGALAM.NS
Glenmark Pharmaceuticals,GLENMARK.NS
Ipca Laboratories,IPCALAB.NS
Neuland Laboratories,NEULANDLAB.NS
Suven Life,SUVEN.NS
RPG Life,RPGLIFE.NS
Shilpa Medicare,SHILPAMED.NS
Piramal Phytocare,PIRPHYTO.NS
Bal Pharma,BALPHARMA.NS
Strides Shasun,STAR.NS
Themis Medicare,THEMISMED.NS
Merck Limited,MERCK.NS
Ind-Swift Limited,INDSWFTLTD.NS
Usha Martin,UMESLTD.NS
Ed &,VISUINTL.NS
Zee Learn,ZEELEARN.NS
Zen Technologies,ZENTEC.NS
Tree House,TREEHOUSE.NS
Aptech Limited,APTECHT.NS
Educomp Solutions,EDUCOMP.NS
MT Educare,MTEDUCARE.NS
LCC Infotech,LCCINFOTEC.NS
Career Point,CAREERP.NS
Compucom Software,COMPUSOFT.NS
India Power,DPSCLTD.NS
Energy Development,ENERGYDEV.NS
Power Grid,POWERGRID.NS
KSK Energy,KSK.NS
Reliance Infrastructure,RELINFRA.NS
NHPC Limited,NHPC.NS
Advance Metering,AMTL.NS
Adani Transmissions,ADANITRANS.NS
Nava Bharat,NBVENTURES.NS
Karma Energy,KARMAENG.NS
Gujarat Industries,GIPCL.NS
Jyoti Structures,JYOTISTRUC.NS
Kalpataru Power,KALPATPOWR.NS
Orient Green,GREENPOWER.NS
Torrent Power,TORNTPOWER.NS
RattanIndia Power,RTNPOWER.NS
S. E.,SEPOWER.NS
SJVN Limited,SJVN.NS
Indowind Energy,INDOWIND.NS
Videocon Industries,VIDEOIND.NS
Whirlpool of,WHIRLPOOL.NS
Butterfly Gandhimathi,BUTTERFLY.NS
BPL Limited,BPL.NS
Khaitan Electricals,KHAITANELE.NS
MIRC Electronics,MIRCELECTR.NS
Bajaj Electricals,BAJAJELEC.NS
PG Electroplast,PGEL.NS
Phoenix Lamps,PHOENIXLL.NS
Symphony Limited,SYMPHONY.NS
Salora International,SALORAINTL.NS
Noesis Industries,NOESISIND.NS
Value Industries,VALUEIND.NS
